PDB_ID,Experimental_Method
7QXM,X-RAY DIFFRACTION
1VEY,X-RAY DIFFRACTION
6IS3,X-RAY DIFFRACTION
1B4D,X-RAY DIFFRACTION
1L91,X-RAY DIFFRACTION
7KF3,X-RAY DIFFRACTION
7U4L,X-RAY DIFFRACTION
7VZ1,ELECTRON MICROSCOPY
8G61,ELECTRON MICROSCOPY
215L,X-RAY DIFFRACTION
6FON,X-RAY DIFFRACTION
4GK6,X-RAY DIFFRACTION
2OXM,X-RAY DIFFRACTION
4A5O,X-RAY DIFFRACTION
8PBL,ELECTRON MICROSCOPY
6KYF,X-RAY DIFFRACTION
9GSJ,ELECTRON MICROSCOPY
1L4L,X-RAY DIFFRACTION
1FRJ,X-RAY DIFFRACTION
3VEC,X-RAY DIFFRACTION
1MWK,X-RAY DIFFRACTION
7PH4,ELECTRON MICROSCOPY
3HQQ,X-RAY DIFFRACTION
8HQZ,ELECTRON MICROSCOPY
1BS8,X-RAY DIFFRACTION
1VZB,X-RAY DIFFRACTION
175L,X-RAY DIFFRACTION
6RLT,X-RAY DIFFRACTION
1ZBT,X-RAY DIFFRACTION
8DOE,X-RAY DIFFRACTION
7KYO,X-RAY DIFFRACTION
6KRH,X-RAY DIFFRACTION
1YSJ,X-RAY DIFFRACTION
1ADI,X-RAY DIFFRACTION
8BH6,ELECTRON MICROSCOPY
9C2D,ELECTRON MICROSCOPY
5IT7,ELECTRON MICROSCOPY
2VO9,X-RAY DIFFRACTION
3MFG,X-RAY DIFFRACTION
4V71,ELECTRON MICROSCOPY
1TJA,ELECTRON MICROSCOPY
8VBX,ELECTRON MICROSCOPY
6BZ6,X-RAY DIFFRACTION
3DL3,X-RAY DIFFRACTION
6S67,X-RAY DIFFRACTION
5UYP,ELECTRON MICROSCOPY
7W1G,X-RAY DIFFRACTION
7MLI,X-RAY DIFFRACTION
8ODQ,X-RAY DIFFRACTION
8BTV,X-RAY DIFFRACTION
7RQ9,X-RAY DIFFRACTION
6SYP,X-RAY DIFFRACTION
1BGT,X-RAY DIFFRACTION
7ROE,ELECTRON MICROSCOPY
8FH5,X-RAY DIFFRACTION
8OEE,X-RAY DIFFRACTION
5CDG,X-RAY DIFFRACTION
1WDN,X-RAY DIFFRACTION
4WRX,X-RAY DIFFRACTION
6GPJ,X-RAY DIFFRACTION
6VA9,X-RAY DIFFRACTION
6C4K,X-RAY DIFFRACTION
3N8L,X-RAY DIFFRACTION
1GLN,X-RAY DIFFRACTION
8SBS,X-RAY DIFFRACTION
5LZB,ELECTRON MICROSCOPY
5XYU,ELECTRON MICROSCOPY
3N19,X-RAY DIFFRACTION
7BNG,X-RAY DIFFRACTION
5XYK,X-RAY DIFFRACTION
4DWW,X-RAY DIFFRACTION
8CED,ELECTRON MICROSCOPY
4JIR,X-RAY DIFFRACTION
5LZU,ELECTRON MICROSCOPY
4ZDA,X-RAY DIFFRACTION
2LD6,SOLUTION NMR
3HCX,X-RAY DIFFRACTION
6W6P,ELECTRON MICROSCOPY
7DQV,X-RAY DIFFRACTION
4WV7,X-RAY DIFFRACTION
4ITK,X-RAY DIFFRACTION
6Z0E,X-RAY DIFFRACTION
1FUO,X-RAY DIFFRACTION
8ZX1,ELECTRON MICROSCOPY
6JKX,X-RAY DIFFRACTION
6ZHP,X-RAY DIFFRACTION
8F4F,X-RAY DIFFRACTION
1L0Y,X-RAY DIFFRACTION
5IMR,ELECTRON MICROSCOPY
5ENT,X-RAY DIFFRACTION
1L53,X-RAY DIFFRACTION
2DRA,X-RAY DIFFRACTION
4LW2,X-RAY DIFFRACTION
1H93,X-RAY DIFFRACTION
4ISQ,X-RAY DIFFRACTION
2JJ4,X-RAY DIFFRACTION
2H0J,X-RAY DIFFRACTION
2QQ0,X-RAY DIFFRACTION
1JET,X-RAY DIFFRACTION
5A93,NEUTRON DIFFRACTION
8FDX,X-RAY DIFFRACTION
3RHO,X-RAY DIFFRACTION
1CV0,X-RAY DIFFRACTION
2RKM,X-RAY DIFFRACTION
5O6R,X-RAY DIFFRACTION
7UA7,X-RAY DIFFRACTION
6YSU,ELECTRON MICROSCOPY
7LBI,X-RAY DIFFRACTION
5J9F,X-RAY DIFFRACTION
6IUD,X-RAY DIFFRACTION
8JJR,ELECTRON MICROSCOPY
3UF7,X-RAY DIFFRACTION
6VND,X-RAY DIFFRACTION
3DN8,X-RAY DIFFRACTION
4PD9,X-RAY DIFFRACTION
8WM8,ELECTRON MICROSCOPY
4WMV,X-RAY DIFFRACTION
4YMX,X-RAY DIFFRACTION
5VIS,X-RAY DIFFRACTION
4V6R,ELECTRON MICROSCOPY
3G2I,X-RAY DIFFRACTION
4B8U,X-RAY DIFFRACTION
7S1G,ELECTRON MICROSCOPY
5EK6,X-RAY DIFFRACTION
6PB5,ELECTRON MICROSCOPY
2ZB2,X-RAY DIFFRACTION
1WTH,X-RAY DIFFRACTION
6PGK,X-RAY DIFFRACTION
1Y4W,X-RAY DIFFRACTION
7SQJ,ELECTRON MICROSCOPY
2DQM,X-RAY DIFFRACTION
3ZN4,X-RAY DIFFRACTION
3FZI,X-RAY DIFFRACTION
4OJH,X-RAY DIFFRACTION
1ARQ,SOLUTION NMR
8T3E,ELECTRON MICROSCOPY
7D4X,X-RAY DIFFRACTION
1T3A,X-RAY DIFFRACTION
1FU4,X-RAY DIFFRACTION
3QJ7,X-RAY DIFFRACTION
1P56,X-RAY DIFFRACTION
6CYN,X-RAY DIFFRACTION
7VN4,X-RAY DIFFRACTION
3B6K,X-RAY DIFFRACTION
4OA4,X-RAY DIFFRACTION
6XTF,X-RAY DIFFRACTION
1CL0,X-RAY DIFFRACTION
4R7U,X-RAY DIFFRACTION
6SVP,X-RAY DIFFRACTION
8UZO,X-RAY DIFFRACTION
2HPZ,X-RAY DIFFRACTION
5J5R,X-RAY DIFFRACTION
4YQ4,X-RAY DIFFRACTION
3S2E,X-RAY DIFFRACTION
1OVX,SOLUTION NMR
5RON,X-RAY DIFFRACTION
3WGH,X-RAY DIFFRACTION
1WC6,X-RAY DIFFRACTION
2OP6,X-RAY DIFFRACTION
8Z2N,X-RAY DIFFRACTION
4G2O,X-RAY DIFFRACTION
5SCB,X-RAY DIFFRACTION
6FT2,X-RAY DIFFRACTION
4N0W,X-RAY DIFFRACTION
3PCY,X-RAY DIFFRACTION
5CNS,X-RAY DIFFRACTION
4V4Y,X-RAY DIFFRACTION
4A8D,ELECTRON MICROSCOPY
1W4A,X-RAY DIFFRACTION
9H3V,ELECTRON MICROSCOPY
7VSC,X-RAY DIFFRACTION
6PKN,ELECTRON CRYSTALLOGRAPHY
7O7W,X-RAY DIFFRACTION
4V4V,ELECTRON MICROSCOPY
5UD4,X-RAY DIFFRACTION
4G1C,X-RAY DIFFRACTION
7A8N,X-RAY DIFFRACTION
7GY4,X-RAY DIFFRACTION
4Z4Q,X-RAY DIFFRACTION
3R0J,X-RAY DIFFRACTION
5V7Q,ELECTRON MICROSCOPY
6TJG,X-RAY DIFFRACTION
6Z4G,X-RAY DIFFRACTION
1SUC,X-RAY DIFFRACTION
3Q26,X-RAY DIFFRACTION
6AWC,ELECTRON MICROSCOPY
3B34,X-RAY DIFFRACTION
2AII,X-RAY DIFFRACTION
8C0J,X-RAY DIFFRACTION
5XMR,X-RAY DIFFRACTION
4WXW,X-RAY DIFFRACTION
8DP6,X-RAY DIFFRACTION
3UPK,X-RAY DIFFRACTION
7SSD,ELECTRON MICROSCOPY
7RYG,ELECTRON MICROSCOPY
2F3U,X-RAY DIFFRACTION
4XMW,X-RAY DIFFRACTION
4WFA,X-RAY DIFFRACTION
1L8P,X-RAY DIFFRACTION
7TJE,X-RAY DIFFRACTION
5IHP,X-RAY DIFFRACTION
1L4N,X-RAY DIFFRACTION
4V8O,X-RAY DIFFRACTION
1XEM,X-RAY DIFFRACTION
7NG0,X-RAY DIFFRACTION
235L,X-RAY DIFFRACTION
6OS7,X-RAY DIFFRACTION
6KDF,X-RAY DIFFRACTION
5II5,X-RAY DIFFRACTION
4C8L,X-RAY DIFFRACTION
9C0D,ELECTRON MICROSCOPY
3ILX,X-RAY DIFFRACTION
5WHT,X-RAY DIFFRACTION
6T66,X-RAY DIFFRACTION
4DP9,X-RAY DIFFRACTION
6QHN,X-RAY DIFFRACTION
6FBC,X-RAY DIFFRACTION
6PVK,ELECTRON MICROSCOPY
5AEZ,X-RAY DIFFRACTION
7SYU,ELECTRON MICROSCOPY
1GHT,SOLUTION NMR
8G60,ELECTRON MICROSCOPY
1KGS,X-RAY DIFFRACTION
4ELH,X-RAY DIFFRACTION
2OTZ,X-RAY DIFFRACTION
2GHO,X-RAY DIFFRACTION
7T27,X-RAY DIFFRACTION
4GI3,X-RAY DIFFRACTION
4KH3,X-RAY DIFFRACTION
2XAY,X-RAY DIFFRACTION
7K9M,X-RAY DIFFRACTION
1OFQ,X-RAY DIFFRACTION
3LZ8,X-RAY DIFFRACTION
3NHG,X-RAY DIFFRACTION
7SP4,ELECTRON MICROSCOPY
7YAM,ELECTRON MICROSCOPY
1JH8,X-RAY DIFFRACTION
4MKI,X-RAY DIFFRACTION
9GLQ,X-RAY DIFFRACTION
7ST2,ELECTRON MICROSCOPY
1CW1,X-RAY DIFFRACTION
7TOE,ELECTRON MICROSCOPY
5OWY,X-RAY DIFFRACTION
6OY7,X-RAY DIFFRACTION
6JEW,X-RAY DIFFRACTION
4WZD,X-RAY DIFFRACTION
2AQQ,X-RAY DIFFRACTION
1E3D,X-RAY DIFFRACTION
7PKT,ELECTRON MICROSCOPY
5AHM,X-RAY DIFFRACTION
4UCQ,X-RAY DIFFRACTION
5OGT,X-RAY DIFFRACTION
7TJ3,X-RAY DIFFRACTION
8G2T,X-RAY DIFFRACTION
9E5E,ELECTRON MICROSCOPY
2WKC,X-RAY DIFFRACTION
4RHR,X-RAY DIFFRACTION
3PLW,X-RAY DIFFRACTION
6QRF,X-RAY DIFFRACTION
7S7Z,X-RAY DIFFRACTION
3QYP,X-RAY DIFFRACTION
1BL5,X-RAY DIFFRACTION
7UNR,ELECTRON MICROSCOPY
3CUV,X-RAY DIFFRACTION
5DM7,X-RAY DIFFRACTION
1DBI,X-RAY DIFFRACTION
9JLF,ELECTRON MICROSCOPY
8IFD,ELECTRON MICROSCOPY
5FHE,X-RAY DIFFRACTION
8T7P,X-RAY DIFFRACTION
6GXO,ELECTRON MICROSCOPY
6PYM,X-RAY DIFFRACTION
5H5Y,X-RAY DIFFRACTION
6MEY,X-RAY DIFFRACTION
8CVI,ELECTRON MICROSCOPY
1MV5,X-RAY DIFFRACTION
7KIM,ELECTRON MICROSCOPY
7TSZ,ELECTRON MICROSCOPY
5D87,X-RAY DIFFRACTION
8QQQ,ELECTRON MICROSCOPY
3H2N,X-RAY DIFFRACTION
1T8G,X-RAY DIFFRACTION
6S12,ELECTRON MICROSCOPY
5VO8,X-RAY DIFFRACTION
1L56,X-RAY DIFFRACTION
7N4E,ELECTRON MICROSCOPY
1S13,X-RAY DIFFRACTION
4BEB,X-RAY DIFFRACTION
1ZVW,X-RAY DIFFRACTION
4A82,ELECTRON CRYSTALLOGRAPHY
1O6B,X-RAY DIFFRACTION
8V3Z,ELECTRON MICROSCOPY
8FIZ,ELECTRON MICROSCOPY
3CZY,X-RAY DIFFRACTION
7CNG,X-RAY DIFFRACTION
1C9W,X-RAY DIFFRACTION
1HGZ,FIBER DIFFRACTION
3H4G,X-RAY DIFFRACTION
4P7B,X-RAY DIFFRACTION
4V6F,X-RAY DIFFRACTION
7EN5,X-RAY DIFFRACTION
8JYL,ELECTRON MICROSCOPY
1L08,X-RAY DIFFRACTION
7SSO,ELECTRON MICROSCOPY
3D4C,X-RAY DIFFRACTION
6P4G,ELECTRON MICROSCOPY
1QSY,X-RAY DIFFRACTION
3TCN,X-RAY DIFFRACTION
6CAR,X-RAY DIFFRACTION
8G12,ELECTRON MICROSCOPY
4UU1,X-RAY DIFFRACTION
7U70,X-RAY DIFFRACTION
3BP1,X-RAY DIFFRACTION
3BZ0,X-RAY DIFFRACTION
2B70,X-RAY DIFFRACTION
9JG6,ELECTRON MICROSCOPY
6OVW,X-RAY DIFFRACTION
6DDS,X-RAY DIFFRACTION
5SCH,X-RAY DIFFRACTION
6WQ2,ELECTRON MICROSCOPY
8EOE,ELECTRON MICROSCOPY
4P74,X-RAY DIFFRACTION
8SCD,X-RAY DIFFRACTION
3GVL,X-RAY DIFFRACTION
7LBY,ELECTRON MICROSCOPY
6F3R,X-RAY DIFFRACTION
7L3G,X-RAY DIFFRACTION
7A8G,X-RAY DIFFRACTION
4YPW,X-RAY DIFFRACTION
4L0Q,X-RAY DIFFRACTION
3R31,X-RAY DIFFRACTION
7YAI,ELECTRON MICROSCOPY
3AJI,X-RAY DIFFRACTION
6A9W,X-RAY DIFFRACTION
2CUU,X-RAY DIFFRACTION
4V5H,ELECTRON MICROSCOPY
4ZCF,X-RAY DIFFRACTION
5TO1,X-RAY DIFFRACTION
2LTD,SOLUTION NMR
8IZ0,X-RAY DIFFRACTION
5DC3,X-RAY DIFFRACTION
1DRH,X-RAY DIFFRACTION
6W2P,X-RAY DIFFRACTION
3ST0,X-RAY DIFFRACTION
6F89,X-RAY DIFFRACTION
8A5I,ELECTRON MICROSCOPY
6WMR,ELECTRON MICROSCOPY
3GQ0,X-RAY DIFFRACTION
4HWO,X-RAY DIFFRACTION
7D5J,X-RAY DIFFRACTION
5UD1,X-RAY DIFFRACTION
7W20,ELECTRON MICROSCOPY
6PB4,ELECTRON MICROSCOPY
5ONK,X-RAY DIFFRACTION
7BNR,X-RAY DIFFRACTION
7TFC,ELECTRON MICROSCOPY
8B9O,X-RAY DIFFRACTION
4LF5,X-RAY DIFFRACTION
1XBP,X-RAY DIFFRACTION
4JTT,X-RAY DIFFRACTION
1B1Z,X-RAY DIFFRACTION
7BG4,ELECTRON MICROSCOPY
1NO4,X-RAY DIFFRACTION
6SPN,X-RAY DIFFRACTION
5RP5,X-RAY DIFFRACTION
4RXF,X-RAY DIFFRACTION
3GZH,X-RAY DIFFRACTION
2J8G,X-RAY DIFFRACTION
4I9Q,X-RAY DIFFRACTION
5VM1,X-RAY DIFFRACTION
4CIU,X-RAY DIFFRACTION
1MWJ,X-RAY DIFFRACTION
3C81,X-RAY DIFFRACTION
1A4Z,X-RAY DIFFRACTION
3SLJ,X-RAY DIFFRACTION
3OT5,X-RAY DIFFRACTION
4V6X,ELECTRON MICROSCOPY
8DDZ,X-RAY DIFFRACTION
7W7B,X-RAY DIFFRACTION
3GEH,X-RAY DIFFRACTION
6GBZ,ELECTRON MICROSCOPY
3F9V,X-RAY DIFFRACTION
7DN2,ELECTRON MICROSCOPY
4H5V,X-RAY DIFFRACTION
8X31,ELECTRON MICROSCOPY
1TK9,X-RAY DIFFRACTION
5I4K,X-RAY DIFFRACTION
1IRI,X-RAY DIFFRACTION
6LE3,X-RAY DIFFRACTION
3W5V,X-RAY DIFFRACTION
6UUK,X-RAY DIFFRACTION
3UWB,X-RAY DIFFRACTION
4ZH4,X-RAY DIFFRACTION
4V7K,X-RAY DIFFRACTION
7VYN,ELECTRON MICROSCOPY
3V5V,X-RAY DIFFRACTION
2W0R,X-RAY DIFFRACTION
7RJJ,X-RAY DIFFRACTION
3HIA,X-RAY DIFFRACTION
3GFK,X-RAY DIFFRACTION
8F83,X-RAY DIFFRACTION
3BHG,X-RAY DIFFRACTION
6WD6,ELECTRON MICROSCOPY
6MKO,X-RAY DIFFRACTION
7U4B,X-RAY DIFFRACTION
7A7O,X-RAY DIFFRACTION
2ZB3,X-RAY DIFFRACTION
5X03,X-RAY DIFFRACTION
1CLW,X-RAY DIFFRACTION
1H18,X-RAY DIFFRACTION
3PF4,X-RAY DIFFRACTION
2FM1,X-RAY DIFFRACTION
4AVF,X-RAY DIFFRACTION
4I1W,X-RAY DIFFRACTION
6QW9,X-RAY DIFFRACTION
8V3Y,ELECTRON MICROSCOPY
6ZL4,X-RAY DIFFRACTION
7EU3,ELECTRON MICROSCOPY
7FPU,X-RAY DIFFRACTION
7DUL,X-RAY DIFFRACTION
5M6D,X-RAY DIFFRACTION
351C,X-RAY DIFFRACTION
6R7R,X-RAY DIFFRACTION
2HMF,X-RAY DIFFRACTION
1R6O,X-RAY DIFFRACTION
7SYV,ELECTRON MICROSCOPY
1MPC,X-RAY DIFFRACTION
2QZ8,X-RAY DIFFRACTION
6XH8,ELECTRON MICROSCOPY
5XIR,SOLUTION NMR
2FYM,X-RAY DIFFRACTION
3SI6,X-RAY DIFFRACTION
1C8K,X-RAY DIFFRACTION
3ZLK,X-RAY DIFFRACTION
4AZ4,X-RAY DIFFRACTION
8TF9,X-RAY DIFFRACTION
6BRL,X-RAY DIFFRACTION
4YQD,X-RAY DIFFRACTION
7A8I,X-RAY DIFFRACTION
1URM,X-RAY DIFFRACTION
4V4K,X-RAY DIFFRACTION
3TV2,X-RAY DIFFRACTION
6O8F,X-RAY DIFFRACTION
4YWS,X-RAY DIFFRACTION
6FOS,X-RAY DIFFRACTION
7L5M,X-RAY DIFFRACTION
5C35,X-RAY DIFFRACTION
6IVM,X-RAY DIFFRACTION
4UDN,X-RAY DIFFRACTION
1Z4A,X-RAY DIFFRACTION
8WDB,ELECTRON MICROSCOPY
3RT4,X-RAY DIFFRACTION
8B05,X-RAY DIFFRACTION
8SMR,ELECTRON MICROSCOPY
1DYD,X-RAY DIFFRACTION
3HGJ,X-RAY DIFFRACTION
6WD9,ELECTRON MICROSCOPY
3GCN,X-RAY DIFFRACTION
4D2Q,ELECTRON MICROSCOPY
6L02,X-RAY DIFFRACTION
8PPK,ELECTRON MICROSCOPY
3ZOW,X-RAY DIFFRACTION
8G5Z,ELECTRON MICROSCOPY
6RCP,X-RAY DIFFRACTION
6IOK,ELECTRON MICROSCOPY
4AAQ,ELECTRON MICROSCOPY
6A8L,X-RAY DIFFRACTION
2ZLD,X-RAY DIFFRACTION
5KLO,X-RAY DIFFRACTION
4UDO,X-RAY DIFFRACTION
8OFW,X-RAY DIFFRACTION
1J7B,X-RAY DIFFRACTION
5JVG,X-RAY DIFFRACTION
3DQK,X-RAY DIFFRACTION
3E2E,X-RAY DIFFRACTION
5IT9,ELECTRON MICROSCOPY
1ZKX,X-RAY DIFFRACTION
8DR3,ELECTRON MICROSCOPY
4A3S,X-RAY DIFFRACTION
7D96,X-RAY DIFFRACTION
4Y4P,X-RAY DIFFRACTION
6NZA,X-RAY DIFFRACTION
7RF4,X-RAY DIFFRACTION
1IX3,X-RAY DIFFRACTION
5K3S,X-RAY DIFFRACTION
7S57,X-RAY DIFFRACTION
6KSC,X-RAY DIFFRACTION
7MEB,X-RAY DIFFRACTION
8WIF,ELECTRON MICROSCOPY
5OP3,X-RAY DIFFRACTION
2RQL,SOLUTION NMR
1AG8,X-RAY DIFFRACTION
3NQO,X-RAY DIFFRACTION
5HGE,X-RAY DIFFRACTION
7OUK,X-RAY DIFFRACTION
7AN4,X-RAY DIFFRACTION
6V7I,X-RAY DIFFRACTION
8E7U,X-RAY DIFFRACTION
5DFR,X-RAY DIFFRACTION
2OLW,X-RAY DIFFRACTION
8SLO,X-RAY DIFFRACTION
1SMC,X-RAY DIFFRACTION
4YPZ,X-RAY DIFFRACTION
4NX6,X-RAY DIFFRACTION
3R33,X-RAY DIFFRACTION
4X65,X-RAY DIFFRACTION
6MLL,X-RAY DIFFRACTION
2L49,SOLUTION NMR
8I12,X-RAY DIFFRACTION
3H2C,X-RAY DIFFRACTION
2X6Y,X-RAY DIFFRACTION
4CJO,X-RAY DIFFRACTION
4S1N,X-RAY DIFFRACTION
3PN4,X-RAY DIFFRACTION
7LCX,X-RAY DIFFRACTION
4XQ6,X-RAY DIFFRACTION
3R6Q,X-RAY DIFFRACTION
8WV1,X-RAY DIFFRACTION
7UJJ,ELECTRON MICROSCOPY
7CKI,X-RAY DIFFRACTION
7L9S,X-RAY DIFFRACTION
1AH9,SOLUTION NMR
5OX1,X-RAY DIFFRACTION
1QTG,SOLUTION NMR
4C3Q,NEUTRON DIFFRACTION
1NOI,X-RAY DIFFRACTION
4C5K,X-RAY DIFFRACTION
9FUU,ELECTRON MICROSCOPY
8OYZ,X-RAY DIFFRACTION
1B28,SOLUTION NMR
149L,X-RAY DIFFRACTION
7CR6,X-RAY DIFFRACTION
1FZW,X-RAY DIFFRACTION
5LRF,X-RAY DIFFRACTION
7RQ8,X-RAY DIFFRACTION
6YXR,ELECTRON MICROSCOPY
3RMP,X-RAY DIFFRACTION
4LAU,X-RAY DIFFRACTION
7AWA,ELECTRON MICROSCOPY
7TMV,X-RAY DIFFRACTION
5U0V,X-RAY DIFFRACTION
4PRS,X-RAY DIFFRACTION
9HAL,ELECTRON MICROSCOPY
5JHQ,X-RAY DIFFRACTION
1C0A,X-RAY DIFFRACTION
1VSR,X-RAY DIFFRACTION
4KO3,X-RAY DIFFRACTION
1DC3,X-RAY DIFFRACTION
107L,X-RAY DIFFRACTION
6WNV,ELECTRON MICROSCOPY
7XE5,X-RAY DIFFRACTION
6XG4,X-RAY DIFFRACTION
5K9T,X-RAY DIFFRACTION
8FPF,ELECTRON MICROSCOPY
8XP2,ELECTRON MICROSCOPY
5UMB,X-RAY DIFFRACTION
8CK1,ELECTRON MICROSCOPY
2DS6,X-RAY DIFFRACTION
4H5W,X-RAY DIFFRACTION
3IX6,X-RAY DIFFRACTION
172L,X-RAY DIFFRACTION
2FTQ,X-RAY DIFFRACTION
5RP9,X-RAY DIFFRACTION
1CW7,X-RAY DIFFRACTION
9EWX,ELECTRON MICROSCOPY
8FON,X-RAY DIFFRACTION
8PHX,X-RAY DIFFRACTION
4CJX,X-RAY DIFFRACTION
3PPN,X-RAY DIFFRACTION
7TI2,X-RAY DIFFRACTION
2PUD,X-RAY DIFFRACTION
7TFH,ELECTRON MICROSCOPY
9FV9,ELECTRON MICROSCOPY
7LOW,X-RAY DIFFRACTION
5K5C,X-RAY DIFFRACTION
7FQ0,X-RAY DIFFRACTION
4I9B,X-RAY DIFFRACTION
1Y25,X-RAY DIFFRACTION
6A6J,X-RAY DIFFRACTION
1B7H,X-RAY DIFFRACTION
6OG1,ELECTRON MICROSCOPY
5ZGH,ELECTRON MICROSCOPY
4YLW,X-RAY DIFFRACTION
6CAZ,X-RAY DIFFRACTION
6O8W,ELECTRON MICROSCOPY
2L0K,SOLUTION NMR
6N7N,ELECTRON MICROSCOPY
7FIV,X-RAY DIFFRACTION
5IWE,X-RAY DIFFRACTION
4MTS,X-RAY DIFFRACTION
2FSI,X-RAY DIFFRACTION
9D93,ELECTRON MICROSCOPY
1NEQ,SOLUTION NMR
4ZXU,X-RAY DIFFRACTION
2VGF,X-RAY DIFFRACTION
8Z62,X-RAY DIFFRACTION
3IKT,X-RAY DIFFRACTION
2HF7,X-RAY DIFFRACTION
2RN7,SOLUTION NMR
7FQE,X-RAY DIFFRACTION
8R2O,X-RAY DIFFRACTION
3W15,X-RAY DIFFRACTION
3PP7,X-RAY DIFFRACTION
2ZRQ,X-RAY DIFFRACTION
1NXO,X-RAY DIFFRACTION
9B0Q,ELECTRON MICROSCOPY
3DKI,X-RAY DIFFRACTION
6WMP,ELECTRON MICROSCOPY
4LFC,X-RAY DIFFRACTION
8ZYJ,ELECTRON MICROSCOPY
5UGQ,X-RAY DIFFRACTION
3QS8,X-RAY DIFFRACTION
9GUP,ELECTRON MICROSCOPY
1FRI,X-RAY DIFFRACTION
7TID,ELECTRON MICROSCOPY
4QTO,X-RAY DIFFRACTION
6APE,X-RAY DIFFRACTION
3PZB,X-RAY DIFFRACTION
6ILU,X-RAY DIFFRACTION
1ID0,X-RAY DIFFRACTION
1HT2,X-RAY DIFFRACTION
9ILV,ELECTRON MICROSCOPY
6B88,X-RAY DIFFRACTION
7UZQ,ELECTRON MICROSCOPY
4O60,X-RAY DIFFRACTION
5DK4,X-RAY DIFFRACTION
2C9S,X-RAY DIFFRACTION
6EIB,X-RAY DIFFRACTION
6UA2,ELECTRON MICROSCOPY
5JLV,X-RAY DIFFRACTION
5VJ8,SOLUTION NMR
2BML,X-RAY DIFFRACTION
6VV7,X-RAY DIFFRACTION
3QYO,X-RAY DIFFRACTION
4V8I,X-RAY DIFFRACTION
7A8O,X-RAY DIFFRACTION
4DU3,X-RAY DIFFRACTION
5L3S,X-RAY DIFFRACTION
9GR1,ELECTRON MICROSCOPY
1E9O,X-RAY DIFFRACTION
8R6V,X-RAY DIFFRACTION
1RX6,X-RAY DIFFRACTION
4GRG,X-RAY DIFFRACTION
5ROC,X-RAY DIFFRACTION
1AZ1,X-RAY DIFFRACTION
1YLJ,X-RAY DIFFRACTION
7CEI,X-RAY DIFFRACTION
3U55,X-RAY DIFFRACTION
5B6L,X-RAY DIFFRACTION
4NMN,X-RAY DIFFRACTION
196L,X-RAY DIFFRACTION
3CDT,X-RAY DIFFRACTION
5HCQ,X-RAY DIFFRACTION
3NKC,X-RAY DIFFRACTION
1DKL,X-RAY DIFFRACTION
3N3T,X-RAY DIFFRACTION
2IEG,X-RAY DIFFRACTION
3PBG,X-RAY DIFFRACTION
4DS3,X-RAY DIFFRACTION
5WQ0,X-RAY DIFFRACTION
6LS0,X-RAY DIFFRACTION
5HUV,X-RAY DIFFRACTION
9DHH,X-RAY DIFFRACTION
2EFW,X-RAY DIFFRACTION
2G4V,X-RAY DIFFRACTION
7MQP,X-RAY DIFFRACTION
5HQE,X-RAY DIFFRACTION
6GXK,X-RAY DIFFRACTION
2PU1,X-RAY DIFFRACTION
1L1P,SOLUTION NMR
3E4F,X-RAY DIFFRACTION
5LE2,X-RAY DIFFRACTION
3CUW,X-RAY DIFFRACTION
4EWT,X-RAY DIFFRACTION
7QLR,X-RAY DIFFRACTION
8G01,ELECTRON MICROSCOPY
4WMT,X-RAY DIFFRACTION
1QT3,X-RAY DIFFRACTION
6S7S,X-RAY DIFFRACTION
1HJ6,X-RAY DIFFRACTION
2XCQ,X-RAY DIFFRACTION
4OPR,X-RAY DIFFRACTION
7YZR,X-RAY DIFFRACTION
2EEY,X-RAY DIFFRACTION
9FMV,ELECTRON MICROSCOPY
7UGU,ELECTRON MICROSCOPY
7YYZ,X-RAY DIFFRACTION
7E4X,ELECTRON MICROSCOPY
7L3H,X-RAY DIFFRACTION
1SDA,X-RAY DIFFRACTION
259L,X-RAY DIFFRACTION
8G1H,X-RAY DIFFRACTION
1Y3C,X-RAY DIFFRACTION
5TEW,X-RAY DIFFRACTION
8DAI,X-RAY DIFFRACTION
5K4Z,X-RAY DIFFRACTION
7D4L,X-RAY DIFFRACTION
6L26,NEUTRON DIFFRACTION
4Z47,X-RAY DIFFRACTION
8G4D,ELECTRON MICROSCOPY
1QT5,X-RAY DIFFRACTION
6W4I,X-RAY DIFFRACTION
7ZQK,X-RAY DIFFRACTION
3HOK,X-RAY DIFFRACTION
1P4H,X-RAY DIFFRACTION
9FV5,ELECTRON MICROSCOPY
2R97,X-RAY DIFFRACTION
6ZHH,X-RAY DIFFRACTION
6CQG,X-RAY DIFFRACTION
4V4A,X-RAY DIFFRACTION
6MCC,ELECTRON MICROSCOPY
6FP7,X-RAY DIFFRACTION
6OG7,ELECTRON MICROSCOPY
2VIC,X-RAY DIFFRACTION
6YVE,X-RAY DIFFRACTION
8YUQ,ELECTRON MICROSCOPY
1ZJH,X-RAY DIFFRACTION
3BQF,X-RAY DIFFRACTION
3BRU,X-RAY DIFFRACTION
5Z6M,X-RAY DIFFRACTION
1JMH,X-RAY DIFFRACTION
5LKQ,X-RAY DIFFRACTION
1G9D,X-RAY DIFFRACTION
2WKO,X-RAY DIFFRACTION
3ZLL,X-RAY DIFFRACTION
3ZF2,X-RAY DIFFRACTION
1W7U,X-RAY DIFFRACTION
7XEK,X-RAY DIFFRACTION
5E0K,X-RAY DIFFRACTION
